0fd1fb5 0fc5ae8 001e043 0fd1a3f 0fc5780 
0fc8c5f 0fbcbe3 002523d 0fc8960 0fbc56d 
0fc9160 0fbd13d 00142d3 0fca28a 0fbc8e9 
0fc2cbb 0fb6c36 001466a 0fc32d9 0fb652a 
0fcc9ac 0fc093a 0023298 0fccdef 0fc022d 
0fc309a 0fb7052 0003e26 0fc430f 0fb680c 
0fc89aa 0fbc8e7 0025271 0fc876c 0fbc2a0 
0fc9150 0fbd0e6 00141a8 0fca2c7 0fbc8b0 
0fc2ad1 0fb6a28 0013b75 0fc3170 0fb6323 
0fcc7d9 0fc0746 0023422 0fccc5e 0fc0054 
0fc30b6 0fb7057 0003c82 0fc4356 0fb6833 
0fc894b 0fbc87e 0025200 0fc8753 0fbc25f 
0fc9229 0fbd1cf 0014a4d 0fca3d6 0fbc9ca 
0fc2b9f 0fb6af9 0014111 0fc3298 0fb642e 
0fcc8e5 0fc0850 002354a 0fccd98 0fc0196 
0fc31cb 0fb717e 00044cb 0fc44ca 0fb697f 
0fc887d 0fbc7d9 0025354 0fc86d3 0fbc1ca 
0fc944a 0fbd41e 0014f62 0fca625 0fbcc1e 
0fc2c74 0fb6bf1 0014151 0fc33a2 0fb6525 
0fccada 0fc0a58 0023466 0fccf67 0fc03a7 
0fc348d 0fb7441 0004841 0fc477e 0fb6c55 
0fc8b06 0fbca66 002522a 0fc8954 0fbc472 
0fc974c 0fbd71f 0015666 0fca8fa 0fbcf48 
0fc2f8f 0fb6f12 0014614 0fc36d9 0fb6865 
0fccdf8 0fc0d94 00233b7 0fcd2a8 0fc06fc 
0fc37f0 0fb77d6 000534b 0fc4b6c 0fb6fed 
0fc8e4e 0fbcdc1 0025045 0fc8ce6 0fbc7de 
0fc9c28 0fbdc04 00156f2 0fcadbc 0fbd42d 
0fc3275 0fb720c 0013f02 0fc39d8 0fb6b5e 
0fcd244 0fc11e9 0022f14 0fcd683 0fc0b42 
0fc3d7e 0fb7d62 0004858 0fc5052 0fb7553 
0fc9240 0fbd1a5 0024967 0fc9033 0fbcba9 
0fca1e8 0fbe1b8 00156ed 0fcb31e 0fbd9d6 
0fc370c 0fb768c 0013987 0fc3e42 0fb6fca 
0fcd59d 0fc153d 0022c42 0fcd9d5 0fc0e85 
0fc40d6 0fb80a7 00047fd 0fc53b9 0fb789e 
0fc94af 0fbd416 00246dd 0fc92b7 0fbcdfb 
0fca4f8 0fbe4c6 0015b1f 0fcb603 0fbdcc2 
0fc384c 0fb77c3 0013677 0fc3f3d 0fb70cf 
0fcd824 0fc17a2 0022a95 0fcdbd4 0fc10d8 
0fc44ae 0fb846b 00047c7 0fc5747 0fb7c52 
0fc9645 0fbd599 0024356 0fc9431 0fbcf99 
0fca94e 0fbe90e 00157dd 0fcba6d 0fbe146 
0fc3bbc 0fb7b3f 0012f91 0fc4315 0fb7493 
0fcdc2b 0fc1bce 0022726 0fce002 0fc1541 
0fc49ca 0fb89b8 0004a4d 0fc5caf 0fb81cf 
0fc9a76 0fbd9f5 0023fd6 0fc985b 0fbd3fd 
0fcafb2 0fbefac 0015ac0 0fcc066 0fbe7c1 
0fc4258 0fb8209 0012bc1 0fc4987 0fb7b24 
0fce2c7 0fc2288 0022190 0fce646 0fc1bbd 
0fc5137 0fb9158 0004966 0fc6407 0fb8922 
0fca0c9 0fbe089 00239e4 0fc9eba 0fbda4f 
0fcb687 0fbf6c8 0015ec2 0fcc75d 0fbeeab 
0fc4778 0fb8772 0012db6 0fc4efe 0fb8067 
0fce8dc 0fc28eb 0021c85 0fcec97 0fc2217 
0fc56fc 0fb9750 000509e 0fc6a07 0fb8f1f 
0fca509 0fbe4f3 0023768 0fca33c 0fbdec6 
0fcbc6e 0fbfcc6 00160cf 0fccd32 0fbf4b1 
0fc4b9b 0fb8bad 0012c6d 0fc5340 0fb84a2 
0fceba7 0fc2bd2 0021a89 0fcef64 0fc24f7 
0fc5a85 0fb9ae8 0005209 0fc6d9d 0fb92ad 
0fca76a 0fbe76e 00234a2 0fca5a2 0fbe12f 
0fcbf7c 0fbfffa 001651e 0fcd055 0fbf7d4 
0fc4d66 0fb8d98 0012cb0 0fc5555 0fb8687 
0fcedb5 0fc2de0 0021915 0fcf17c 0fc2714 
0fc5d37 0fb9db6 00054da 0fc709b 0fb9575 
0fca7e9 0fbe809 002338a 0fca661 0fbe1bf 
0fcc14f 0fc01dd 00165d6 0fcd230 0fbf9b3 
0fc4db5 0fb8dfa 001286b 0fc55a8 0fb86cd 
0fcef10 0fc2f50 00217c3 0fcf2a7 0fc2868 
0fc5ebe 0fb9f36 00051d0 0fc71f1 0fb96ea 
0fca891 0fbe8a3 00230fd 0fca6d6 0fbe25f 
0fcc3a6 0fc0422 001666e 0fcd46a 0fbfc06 
0fc4ffd 0fb902c 001247b 0fc580a 0fb890e 
0fcf06c 0fc30a1 0021686 0fcf400 0fc29c7 
0fc5ff8 0fba076 00050e8 0fc735c 0fb982c 
0fca8c7 0fbe8ca 0022f0e 0fca708 0fbe27e 
0fcc4cd 0fc053d 001636c 0fcd557 0fbfd0d 
0fc50de 0fb90fa 0011d9f 0fc58c7 0fb89d9 
0fcf188 0fc31aa 002155b 0fcf4dd 0fc2ad3 
0fc6252 0fba2b1 0004dd7 0fc7574 0fb9a6b 
0fcaa3a 0fbea29 0022cd5 0fca836 0fbe3f4 
0fcc6bb 0fc071a 001654d 0fcd6f6 0fbff09 
0fc51f1 0fb921d 0011d94 0fc59b5 0fb8aff 
0fcf343 0fc3376 00213e8 0fcf648 0fc2c99 
0fc6548 0fba5ba 0004f5f 0fc7842 0fb9d74 
0fcabc0 0fbebba 0022b88 0fca999 0fbe581 
0fcc9fc 0fc0a5a 001668f 0fcda18 0fc024b 
0fc5427 0fb9447 00117d7 0fc5bff 0fb8d33 
0fcf5c6 0fc35f0 0021193 0fcf89c 0fc2f23 
0fc677a 0fba7f7 0004def 0fc7a80 0fb9fb9 
0fcacc0 0fbece3 00228a8 0fcaab5 0fbe6ab 
0fccc6f 0fc0cf1 00167e9 0fcdc8a 0fc04e5 
0fc5549 0fb9596 00116cc 0fc5d3b 0fb8e6d 
0fcf643 0fc3686 002118e 0fcf924 0fc2fbf 
0fc689a 0fba91e 0004f93 0fc7bc2 0fba0de 
0fcace1 0fbed04 00227f5 0fcaad6 0fbe6bf 
0fccce1 0fc0d75 0016b82 0fcdcd7 0fc0555 
0fc5513 0fb9570 001160f 0fc5d14 0fb8e36 
0fcf6cb 0fc3732 002115d 0fcf9a8 0fc3052 
0fc69d5 0fbaa85 000527c 0fc7d18 0fba22d 
0fcacbf 0fbecfd 00227c5 0fcaaeb 0fbe6ae 
0fccdcd 0fc0e6d 0016e50 0fcddf1 0fc0650 
0fc54ba 0fb9511 00116bd 0fc5d13 0fb8ddf 
0fcf5cf 0fc3615 00212d3 0fcf8eb 0fc2f5d 
0fc6854 0fba8c2 0005295 0fc7be6 0fba0a9 
0fca9e2 0fbe9d8 002286f 0fca88d 0fbe3d9 
0fccbd1 0fc0c2d 0016f12 0fcdc5f 0fc045f 
0fc51f8 0fb9210 001112d 0fc5b06 0fb8b31 
0fcf3a0 0fc33b5 00214ab 0fcf728 0fc2d33 
0fc669a 0fba6f7 0004dca 0fc7a8c 0fb9ef1 
0fca6c8 0fbe6a6 0022865 0fca5c3 0fbe0bd 
0fcca50 0fc0a9a 0016e42 0fcdabd 0fc02dc 
0fc4f77 0fb8f81 0010a67 0fc5887 0fb88a3 
0fcf1b3 0fc31ba 00216b3 0fcf50d 0fc2b4a 
0fc65c7 0fba61a 0004d27 0fc79c5 0fb9e2d 
0fca60a 0fbe5de 00227b6 0fca4fd 0fbdff4 
0fccc26 0fc0c67 0017051 0fcdcb9 0fc0498 
0fc5073 0fb9069 0010932 0fc59c1 0fb898b 
0fcf2b7 0fc329d 0021614 0fcf62e 0fc2c34 
0fc6757 0fba781 0004c3a 0fc7b6b 0fb9f95 
0fca65b 0fbe61b 00225c2 0fca587 0fbe039 
0fccc9f 0fc0cee 00171ed 0fcdd5b 0fc0528 
0fc502b 0fb9041 001068b 0fc59db 0fb894f 
0fcf349 0fc334f 00215be 0fcf701 0fc2ccc 
0fc68f3 0fba92e 0004f93 0fc7d42 0fba120 
0fca6a3 0fbe660 002254f 0fca5f6 0fbe05f 
0fccf0d 0fc0f25 0017397 0fcdf90 0fc0764 
0fc5141 0fb912a 0010344 0fc5acb 0fb8a35 
0fcf409 0fc33f6 002157b 0fcf762 0fc2d64 
0fc6b01 0fbab43 0005082 0fc7f26 0fba322 
0fca715 0fbe6ed 002239a 0fca665 0fbe0c8 
0fcd0a0 0fc10ec 0017661 0fce123 0fc0905 
0fc5184 0fb9183 000ffcd 0fc5b39 0fb8a80 
0fcf408 0fc33f9 0021597 0fcf765 0fc2d70 
0fc6bd7 0fbac1a 0004fc3 0fc8008 0fba3ff 
0fca686 0fbe659 0022272 0fca5bc 0fbe048 
0fcd146 0fc1186 0017954 0fce198 0fc09b7 
0fc51ad 0fb91b4 000fec9 0fc5b81 0fb8aba 
0fcf41d 0fc3417 00215de 0fcf776 0fc2d96 
0fc6c90 0fbacd4 00051df 0fc80e0 0fba4c5 
0fca53b 0fbe501 00221dc 0fca492 0fbdf01 
0fcd14b 0fc117b 0017b8f 0fce172 0fc09bd 
0fc50d7 0fb90e2 000fba3 0fc5aa7 0fb89e0 
0fcf34a 0fc3361 00216e0 0fcf692 0fc2cdd 
0fc6cd9 0fbad44 0005552 0fc8136 0fba52e 
0fca4fe 0fbe4ee 0022226 0fca467 0fbdee7 
0fcd3a5 0fc1403 0018085 0fce3e1 0fc0c3f 
0fc52b7 0fb92d9 000fc02 0fc5cb9 0fb8bd4 
0fcf614 0fc361e 00214cf 0fcf93f 0fc2fb5 
0fc7020 0fbb07e 000583a 0fc847b 0fba878 
0fca67c 0fbe66d 002200d 0fca5e5 0fbe07a 
0fcd6c7 0fc1734 001807e 0fce6e2 0fc0f84 
0fc5555 0fb958e 000fa89 0fc5f67 0fb8e95 
0fcf848 0fc3881 00212f1 0fcfb6d 0fc3212 
0fc7334 0fbb3b8 0005a72 0fc879f 0fbaba5 
0fca841 0fbe854 0021dbc 0fca7c7 0fbe256 
0fcd936 0fc19c2 0018363 0fce951 0fc120a 
0fc567a 0fb96d9 000f684 0fc60d0 0fb8fd9 
0fcf8c8 0fc3924 002123f 0fcfbf0 0fc32a9 
0fc73c3 0fbb46a 0005866 0fc884a 0fbac4f 
0fca7a0 0fbe7c3 0021bb8 0fca72c 0fbe1b3 
0fcd8e8 0fc1978 0018203 0fce8ed 0fc11b9 
0fc551d 0fb9572 000ef46 0fc5f84 0fb8e67 
0fcf7d8 0fc382b 002131e 0fcfade 0fc31ad 
0fc73c3 0fbb473 0005711 0fc8857 0fbac4d 
0fca576 0fbe5b8 0021aba 0fca527 0fbdfa7 
0fcd90a 0fc19b5 0018504 0fce906 0fc11ee 
0fc53bb 0fb9424 000ebb5 0fc5e58 0fb8d19 
0fcf6ca 0fc372d 002143d 0fcf9cd 0fc30aa 
0fc73d6 0fbb49c 00055bc 0fc889f 0fbac69 
0fca402 0fbe441 00218de 0fca3cf 0fbde23 
0fcd8e7 0fc1989 0018590 0fce8dd 0fc11c1 
0fc52f0 0fb9366 000e520 0fc5db1 0fb8c49 
0fcf559 0fc35b3 002157d 0fcf842 0fc2f3c 
0fc7437 0fbb4e3 00054af 0fc88ea 0fbacbf 
0fca286 0fbe2c1 002179b 0fca253 0fbdcae 
0fcd964 0fc1a09 0018700 0fce942 0fc124d 
0fc526c 0fb92f3 000e430 0fc5d54 0fb8bd1 
0fcf4da 0fc355d 002162d 0fcf7cb 0fc2ed6 
0fc74bf 0fbb59c 0005836 0fc898f 0fbad5e 
0fca228 0fbe294 00217b6 0fca205 0fbdc63 
0fcda9f 0fc1b77 0018a6d 0fcea60 0fc1394 
0fc52b5 0fb9356 000e4e4 0fc5d8f 0fb8c13 
0fcf5b3 0fc3639 0021619 0fcf859 0fc2fa6 
0fc75ff 0fbb6da 0005d1c 0fc8aac 0fbae98 
0fca150 0fbe1bd 002179b 0fca11a 0fbdb8b 
0fcdbae 0fc1c7f 0018ebc 0fceb2f 0fc149f 
0fc539f 0fb9439 000e35c 0fc5e63 0fb8cfe 
0fcf570 0fc3601 0021684 0fcf7f5 0fc2f79 
0fc76a8 0fbb7a2 0005ee6 0fc8b63 0fbaf5d 
0fca121 0fbe1b8 0021668 0fca10e 0fbdb7b 
0fcdc30 0fc1d39 001909a 0fcebcf 0fc154d 
0fc524f 0fb9329 000e191 0fc5d77 0fb8bd2 
0fcf597 0fc3654 0021620 0fcf834 0fc2fb1 
0fc7887 0fbb997 0005e3c 0fc8d4f 0fbb136 
0fca0e3 0fbe176 0021466 0fca0af 0fbdb25 
0fcdd10 0fc1e18 0019130 0fcec63 0fc161b 
0fc5381 0fb944e 000ddbd 0fc5e7e 0fb8ce4 
0fcf575 0fc362a 0021664 0fcf7c2 0fc2f7e 
0fc78e3 0fbb9ee 0005ef3 0fc8d8e 0fbb18a 
0fca0fc 0fbe1a9 002129c 0fca0c4 0fbdb43 
0fcddb3 0fc1ece 001928d 0fcecf7 0fc16be 
0fc5323 0fb9414 000daf2 0fc5e41 0fb8c8f 
0fcf5a7 0fc367d 002166d 0fcf7ea 0fc2fb0 
0fc7933 0fbba64 000623c 0fc8de8 0fbb1df 
0fc9fdb 0fbe09b 002126b 0fc9fa7 0fbda2b 
0fcde38 0fc1f5e 00193f5 0fced62 0fc1751 
0fc5311 0fb9405 000d80c 0fc5e2d 0fb8c85 
0fcf615 0fc36f5 0021614 0fcf837 0fc3037 
0fc7aa1 0fbbbda 00061e3 0fc8f5b 0fbb364 
0fc9f22 0fbdfe4 002110f 0fc9efd 0fbd985 
0fcdecb 0fc1ff8 001958b 0fcedec 0fc17fe 
0fc539d 0fb949a 000d4b3 0fc5ef1 0fb8d28 
0fcf5e1 0fc36d0 00215dc 0fcf820 0fc301a 
0fc7b89 0fbbce1 00061e0 0fc9069 0fbb468 
0fc9f8b 0fbe082 0020f9c 0fc9f88 0fbda0e 
0fce094 0fc21f5 0019624 0fcefc9 0fc19e0 
0fc548d 0fb95bd 000d413 0fc5ff8 0fb8e2a 
0fcf62d 0fc373a 00215c3 0fcf84d 0fc306d 
0fc7c3d 0fbbda8 0006580 0fc9114 0fbb519 
0fca010 0fbe10e 0020ec3 0fc9ffd 0fbda90 
0fce19d 0fc22f9 0019867 0fcf0ca 0fc1af0 
0fc555a 0fb967f 000d473 0fc60c1 0fb8efe 
0fcf706 0fc3818 0021551 0fcf90d 0fc3151 
0fc7ea1 0fbc00e 000656c 0fc936f 0fbb780 
0fca091 0fbe197 0020d59 0fca08c 0fbdb14 
0fce339 0fc24b1 0019916 0fcf23a 0fc1c9d 
0fc55c2 0fb9718 000d14d 0fc6162 0fb8f7c 
0fcf73a 0fc3868 00214e4 0fcf945 0fc3198 
0fc7ee3 0fbc055 00065df 0fc93b6 0fbb7d6 
0fca071 0fbe176 0020bbc 0fca065 0fbdb01 
0fce3d5 0fc254f 00199ce 0fcf2b7 0fc1d3f 
0fc5662 0fb97aa 000cfa2 0fc61fb 0fb902a 
0fcf852 0fc3982 002141b 0fcfa4a 0fc32c7 
0fc80ea 0fbc281 000682e 0fc95c6 0fbb9f8 
0fca1ad 0fbe2cf 0020a86 0fca199 0fbdc4e 
0fce5ce 0fc2753 0019a8c 0fcf486 0fc1f4b 
0fc576a 0fb98c9 000cd33 0fc6305 0fb9131 
0fcf959 0fc3aa4 002130b 0fcfb31 0fc33d9 
0fc82ca 0fbc477 00068ce 0fc97a7 0fbbbe7 
0fca1a6 0fbe2db 00208fe 0fca190 0fbdc5c 
0fce744 0fc28ca 0019bba 0fcf5cf 0fc20cf 
0fc57c8 0fb992b 000cb0a 0fc6362 0fb9198 
0fcf929 0fc3a71 0021362 0fcfacc 0fc33b1 
0fc8319 0fbc4d3 00069f3 0fc97f7 0fbbc3c 
0fca069 0fbe1a3 002071e 0fca055 0fbdb27 
0fce80f 0fc299d 0019c04 0fcf684 0fc219e 
0fc577a 0fb98da 000c6e4 0fc6322 0fb9151 
0fcf867 0fc39b0 0021402 0fcf9fb 0fc32ff 
0fc8375 0fbc52a 00067aa 0fc984b 0fbbcaa 
0fca005 0fbe148 0020525 0fc9fe6 0fbdacd 
0fce832 0fc29d6 0019a95 0fcf68b 0fc21e1 
0fc5825 0fb99a8 000bf4d 0fc63df 0fb9214 
0fcf953 0fc3ac0 00212cb 0fcfae3 0fc33fc 
0fc8546 0fbc71b 000677c 0fc9a38 0fbbe86 
0fca0c7 0fbe222 0020329 0fca0b4 0fbdb98 
0fcea21 0fc2bdf 0019e62 0fcf868 0fc23d0 
0fc58f5 0fb9a9a 000c1a0 0fc64b4 0fb92f5 
0fcf9fc 0fc3b92 00212a2 0fcfb46 0fc34ab 
0fc8651 0fbc847 0006bc0 0fc9b11 0fbbf94 
0fc9fa3 0fbe12e 00202c1 0fc9f9a 0fbda87 
0fcea11 0fc2bfd 001a10a 0fcf83d 0fc23cb 
0fc578c 0fb994e 000bf95 0fc636d 0fb917d 
0fcf7cb 0fc3971 0021492 0fcf921 0fc327d 
0fc85a7 0fbc7b5 0006bfa 0fc9a85 0fbbeef 
0fc9d67 0fbdf0b 0020278 0fc9d5f 0fbd848 
0fce8b9 0fc2ab9 001a1a8 0fcf6e0 0fc227d 
0fc55f7 0fb97dc 000bbf6 0fc61f6 0fb8ffb 
0fcf658 0fc3820 00215a1 0fcf791 0fc3117 
0fc843f 0fbc665 0006b6c 0fc991d 0fbbd87 
0fc9ba6 0fbdd65 00201b3 0fc9b90 0fbd686 
0fce897 0fc2acb 001a4ef 0fcf4bf 0fc20dc 
0fc56d5 0fb98e8 000bbc0 0fc5f98 0fb8e0c 
0fcf641 0fc3835 0021950 0fcf42c 0fc2e52 
0fc8643 0fbc87b 0006f70 0fc97ba 0fbbcb0 
0fc9af6 0fbdca8 0020441 0fc97e8 0fbd328 
0fce7ee 0fc29f2 001a8ff 0fcf2f5 0fc1f1f 
0fc5451 0fb961d 000ba08 0fc5db2 0fb8b96 
0fcf438 0fc35d6 0021ae8 0fcf300 0fc2c78 
0fc8323 0fbc4fd 0006f62 0fc9586 0fbb9c1 
0fc986f 0fbd9c7 002038f 0fc9669 0fbd099 
0fce6a3 0fc2852 001aac1 0fcf279 0fc1db8 
0fc5279 0fb93e3 000b79b 0fc5c9a 0fb89a1 
0fcf0fa 0fc3230 0021e27 0fcf044 0fc28fd 
0fc813e 0fbc2c9 0006dfa 0fc93eb 0fbb7c9 
0fc9643 0fbd755 0020219 0fc946e 0fbce3a 
0fce4eb 0fc265a 001ab67 0fcf0ac 0fc1bdd 
0fc5042 0fb918b 000b4f9 0fc5a81 0fb8755 
0fcf026 0fc316a 0021f14 0fcef8f 0fc2823 
0fc81e2 0fbc37b 00072cc 0fc94c6 0fbb86a 
0fc956a 0fbd685 002015a 0fc93f7 0fbcd74 
0fce6b1 0fc282b 001ac55 0fcf274 0fc1dad 
0fc51c9 0fb9315 000b214 0fc5c3d 0fb88e6 
0fcf0b9 0fc31fa 0021e58 0fcf00f 0fc28ba 
0fc829e 0fbc439 0007373 0fc958f 0fbb937 
0fc9466 0fbd58a 00201e9 0fc9331 0fbcca3 
0fce738 0fc2898 001adb6 0fcf61b 0fc20d7 
0fc5237 0fb937a 000b476 0fc5ffe 0fb8c0c 
0fcf163 0fc3267 0021b28 0fcf3e6 0fc2bfc 
0fc8488 0fbc5d6 00074bb 0fc9a7f 0fbbdaf 
0fc942f 0fbd4e1 001fd4a 0fc95e3 0fbced7 
0fce7f1 0fc2909 001ac87 0fcf6b6 0fc2190 
0fc5281 0fb938d 000abd7 0fc6056 0fb8c42 
0fcf0d7 0fc31bf 0021b36 0fcf35d 0fc2b70 
0fc85b4 0fbc70c 0007275 0fc9bd8 0fbbede 
0fc93fd 0fbd4e5 001fae0 0fc960e 0fbcebc 
0fce8a3 0fc29db 001ad0d 0fcf765 0fc2254 
0fc522a 0fb933e 000a82c 0fc6011 0fb8bfc 
0fcf0b7 0fc3196 0021ba9 0fcf300 0fc2b5d 
0fc85cb 0fbc70c 0007364 0fc9bb1 0fbbef8 
0fc931c 0fbd3e5 001f929 0fc94ff 0fbcdda 
0fce941 0fc2a72 001afb4 0fcf7db 0fc22ff 
0fc51e8 0fb930d 000a743 0fc600e 0fb8bd3 
0fcf011 0fc3127 0021bf4 0fcf29e 0fc2adf 
0fc8748 0fbc8bf 00074cf 0fc9d77 0fbc09a 
0fc926f 0fbd36c 001f5cb 0fc948c 0fbcd45 
0fce957 0fc2aa6 001b12c 0fcf7fb 0fc2323 
0fc5180 0fb92ae 000a3c3 0fc5fa4 0fb8b55 
0fcef27 0fc3019 0021d2d 0fcf172 0fc29e7 
0fc8828 0fbc97f 0007ae4 0fc9e3c 0fbc176 
0fc928b 0fbd36f 001f6a6 0fc94ac 0fbcd65 
0fcea97 0fc2bea 001b33b 0fcf932 0fc2493 
0fc52fb 0fb9431 000a32b 0fc6149 0fb8d0a 
0fcf042 0fc315c 0021be0 0fcf2a0 0fc2b4f 
0fc8915 0fbca9d 00077a2 0fc9f44 0fbc28c 
0fc91e1 0fbd302 001f26b 0fc9423 0fbccce 
0fceb32 0fc2cb5 001b2b7 0fcf99f 0fc250b 
0fc52f3 0fb9463 0009d5e 0fc6139 0fb8ce2 
0fcf024 0fc3172 0021b85 0fcf25f 0fc2b0a 
0fd0d2b 0fc51a1 001e8ad 0fd169e 0fc484e 
0fc6e14 0fbb2cc 00035f7 0fc843f 0fba902 
0fcd6a6 0fc1add 00219a2 0fcd8d6 0fc12e0 
0fccad5 0fc0f7d 0010a67 0fce177 0fc0577 
0fc72b5 0fbb6f6 0014cf1 0fc7cae 0fbae84 
0fd09f5 0fc4e1b 001ec37 0fd1345 0fc44a6 
0fc6bc0 0fbb041 000357f 0fc821e 0fba68a 
0fcd273 0fc168a 0021c0e 0fcd50f 0fc0e97 
0fcca23 0fc0eb6 0010e26 0fce099 0fc04a7 
0fc7094 0fbb4e0 0014c04 0fc7ad8 0fbac60 
0fd08c8 0fc4d03 001ef35 0fd122e 0fc43b5 
0fc6b9c 0fbb03c 0003bfb 0fc8231 0fba67b 
0fcd0cf 0fc1506 0021e58 0fcd34e 0fc0d1c 
0fcc9ae 0fc0e5b 00119b1 0fce02e 0fc0461 
0fc7050 0fbb4a6 00150e2 0fc7a84 0fbac2f 
0fd09df 0fc4e19 001efb7 0fd12da 0fc44c1 
0fc6d6a 0fbb1f8 0004030 0fc83ba 0fba84a 
0fcd1b1 0fc15c2 0021daf 0fcd3e9 0fc0de9 
0fccc13 0fc109c 0011c54 0fce252 0fc06b0 
0fc705c 0fbb491 0014e70 0fc7aac 0fbac2e 
0fd09f6 0fc4e21 001f043 0fd12f6 0fc44d6 
0fc6d1f 0fbb1a2 0004069 0fc83ae 0fba807 
0fcd09e 0fc14b3 0021e29 0fcd2df 0fc0cc9 
0fccc1e 0fc10b5 00120ea 0fce25c 0fc06bd 
0fc70b1 0fbb4ee 0014f1a 0fc7afd 0fbac7a 
0fd0a52 0fc4e65 001f084 0fd1319 0fc4527 
0fc6e19 0fbb29d 0004003 0fc849f 0fba8fb 
0fcd084 0fc14b7 0021cf6 0fcd2e7 0fc0cc9 
0fcccd0 0fc1184 0011ede 0fce311 0fc0778 
0fc700a 0fbb468 0014808 0fc7a76 0fbabd5 
0fd0a82 0fc4ec5 001efd3 0fd1347 0fc4551 
0fc6e4b 0fbb2eb 0003b00 0fc84d0 0fba922 
0fcd0db 0fc1504 0021b75 0fcd33e 0fc0d19 
0fcce93 0fc132d 0011fae 0fce4d7 0fc0935 
0fc708e 0fbb4d7 00145b8 0fc7b2c 0fbac5a 
0fd0b65 0fc4f99 001ef43 0fd144f 0fc4653 
0fc6f44 0fbb3e0 00039df 0fc8609 0fbaa1d 
0fccff1 0fc1426 0021b0d 0fcd27f 0fc0c30 
0fccfad 0fc145a 0012099 0fce5e8 0fc0a70 
0fc7041 0fbb494 001401a 0fc7b0d 0fbac16 
0fd0b0f 0fc4f48 001efc7 0fd13f9 0fc45ff 
0fc6fb2 0fbb453 000379b 0fc866d 0fbaaa8 
0fccfab 0fc13d0 0021a47 0fcd230 0fc0c00 
0fcd005 0fc149e 0011fbd 0fce623 0fc0ac8 
0fc6fc9 0fbb42d 0013dc9 0fc7a9e 0fbabb7 
0fd0b67 0fc4fcb 001f01b 0fd141a 0fc466b 
0fc70b1 0fbb57c 0003977 0fc8799 0fbabba 
0fccf25 0fc1390 0021a88 0fcd1c4 0fc0b92 
0fcd04b 0fc152f 00123f8 0fce699 0fc0b2a 
0fc6fe3 0fbb477 0013db2 0fc7aec 0fbabe1 
0fd0bdd 0fc5057 001f04d 0fd14ab 0fc471a 
0fc71af 0fbb685 00039d5 0fc88a1 0fbacca 
0fccf42 0fc13a3 00219dd 0fcd1c3 0fc0bc7 
0fcd26f 0fc1755 0012703 0fce88e 0fc0d69 
0fc6f68 0fbb402 0013ad2 0fc7a79 0fbab7c 
0fd0bbc 0fc5033 001f106 0fd144c 0fc46eb 
0fc70cf 0fbb59c 0003867 0fc87bc 0fbabe1 
0fccd28 0fc1184 0021a24 0fccf94 0fc0997 
0fcd1e7 0fc16c9 00127c4 0fce7ef 0fc0ccd 
0fc6e4c 0fbb2e7 001364c 0fc7973 0fbaa5a 
0fd0b3f 0fc4fc8 001f1e7 0fd13c0 0fc4676 
0fc7128 0fbb60b 00039bf 0fc8827 0fbac52 
0fcccf1 0fc115c 00219c0 0fccf5f 0fc097c 
0fcd25f 0fc1739 0012bf4 0fce838 0fc0d5a 
0fc6dde 0fbb275 00134d6 0fc78f8 0fbaa06 
0fd0b21 0fc4f9f 001f2ab 0fd1361 0fc467d 
0fc721a 0fbb6f8 0003737 0fc891c 0fbad45 
0fccc10 0fc1077 0021947 0fcce63 0fc08a9 
0fcd382 0fc1850 0012d68 0fce91c 0fc0e6c 
0fc6d60 0fbb1e7 0013270 0fc785f 0fba964 
0fd0a8d 0fc4ef7 001f41b 0fd1278 0fc45b8 
0fc7198 0fbb678 0003af6 0fc8883 0fbacb4 
0fcc9e8 0fc0e62 0021b37 0fccc29 0fc0676 
0fcd2e4 0fc17d8 0013242 0fce883 0fc0ddb 
0fc6bf2 0fbb099 001314e 0fc76ff 0fba7f9 
0fd0a16 0fc4ea5 001f507 0fd11f0 0fc4553 
0fc70e1 0fbb5da 00039b8 0fc87de 0fbabfe 
0fcc89b 0fc0d1e 0021aeb 0fccad7 0fc052a 
0fcd32e 0fc181d 0013378 0fce898 0fc0e22 
0fc6acf 0fbaf71 0012bfb 0fc75f6 0fba6df 
0fd08e1 0fc4d6c 001f613 0fd10a9 0fc4436 
0fc708d 0fbb584 0003826 0fc878b 0fbabba 
0fcc721 0fc0b9b 0021ad0 0fcc95b 0fc03b4 
0fcd358 0fc1854 0013516 0fce888 0fc0e4f 
0fc69fe 0fbaeb7 00128ff 0fc751f 0fba611 
0fd081c 0fc4cc6 001f684 0fd0fed 0fc438f 
0fc710c 0fbb620 0003696 0fc87fe 0fbac3b 
0fcc63b 0fc0ae3 0021a0b 0fcc87a 0fc02e8 
0fcd367 0fc187e 0013493 0fce8af 0fc0e73 
0fc6987 0fbae53 00125aa 0fc74cb 0fba5a1 
0fd0835 0fc4cec 001f729 0fd0fe9 0fc43c4 
0fc7217 0fbb733 00038ac 0fc8910 0fbad51 
0fcc619 0fc0acf 0021939 0fcc841 0fc02db 
0fcd484 0fc19a1 0013874 0fce996 0fc0f9a 
0fc68ea 0fbadd0 0012226 0fc7431 0fba517 
0fd08b1 0fc4d8c 001f744 0fd1014 0fc4436 
0fc7292 0fbb7d8 00037bd 0fc898c 0fbaddf 
