0fe79e3 0fbc84f 001779c 
0fd5239 0fbcd0d 0008e4e 
0fd0234 0fb661a 0003a5d 
0fdcd4c 0fb62fa 000e424 
0fe961e 0fbc6d0 0019e50 
0fe4d09 0fc0933 0016b33 
0fd553d 0fbcecb 000901e 
0fd0394 0fb67e3 0003b2e 
0fdcc94 0fb63e6 000e2e7 
0fe93f6 0fbc74e 0019c20 
0fe499b 0fc0a21 00167f5 
0fd5199 0fbcf9a 0008cab 
0fd0025 0fb681b 000377e 
0fdca2f 0fb6367 000dfc6 
0fe9451 0fbc6da 0019beb 
0fe4bc1 0fc0a64 0016a7b 
0fd5315 0fbd079 0008f00 
0fd0048 0fb6842 0003846 
0fdc99e 0fb631e 000dfe0 
0fe932a 0fbc68c 0019aa1 
0fe4cb8 0fc0a23 00169d8 
0fd5482 0fbd0c3 0008e74 
0fcff46 0fb688b 0003664 
0fdc7ed 0fb630a 000dd9b 
0fe929a 0fbc5ea 0019984 
0fe4c41 0fc09bb 0016959 
0fd5446 0fbd0ce 0008ea2 
0fcffbd 0fb68a2 0003717 
0fdc773 0fb62a4 000dc8c 
0fe922f 0fbc581 00197fb 
0fe4dd7 0fc09ef 0016982 
0fd555e 0fbd150 0008f0f 
0fcfe3a 0fb69b8 0003611 
0fdc636 0fb637f 000dc3c 
0fe91c6 0fbc65d 00198b5 
0fe4d42 0fc0b42 0016a5e 
0fd55dd 0fbd363 0009008 
0fcfd05 0fb6b86 00034c3 
0fdc3de 0fb648a 000d9e4 
0fe901d 0fbc6dc 00196c2 
0fe4e73 0fc0c00 0016a43 
0fd5670 0fbd407 0008f32 
0fcfcab 0fb6bb3 000336f 
0fdc34a 0fb646d 000d8b5 
0fe9168 0fbc74d 001973c 
0fe501c 0fc0d54 0016be4 
0fd57be 0fbd66a 0009113 
0fcfcb7 0fb6ddb 000339c 
0fdc1cb 0fb65ed 000d718 
0fe8f2f 0fbc82f 001946d 
0fe4fc6 0fc0e68 0016a97 
0fd57a0 0fbd7fc 000906a 
0fcfbc2 0fb6f84 00032a4 
0fdbfaa 0fb671f 000d522 
0fe8fbc 0fbc908 00195d3 
0fe5157 0fc1052 0016cef 
0fd5985 0fbda95 000927d 
0fcfc12 0fb7239 0003364 
0fdbecc 0fb6980 000d470 
0fe8e35 0fbcb78 0019499 
0fe51ce 0fc1296 0016dea 
0fd5a56 0fbdd12 00093ba 
0fcfbd3 0fb74f0 00033bc 
0fdbe64 0fb6b32 000d52d 
0fe8d5e 0fbcc9b 0019460 
0fe5206 0fc1406 0016e0a 
0fd5b5b 0fbdf44 00094fa 
0fcfb9d 0fb7735 0003419 
0fdbc27 0fb6d41 000d32d 
0fe8c05 0fbcec5 00192e0 
0fe51e0 0fc1748 0016d3a 
0fd5acf 0fbe2eb 0009320 
0fcfa80 0fb7a51 0003184 
0fdbb04 0fb6f97 000d0c8 
0fe8c43 0fbd0bd 00191a8 
0fe52bf 0fc1930 0016d2b 
0fd5b6f 0fbe519 00093dc 
0fcfa92 0fb7ccc 0003248 
0fdbafd 0fb71e9 000d119 
0fe8ce2 0fbd2e6 0019192 
0fe55cc 0fc1b81 0016f4c 
0fd5e8e 0fbe7c5 00095e3 
0fcfac4 0fb7f00 00030f3 
0fdb96f 0fb732c 000ce40 
0fe8c4a 0fbd31f 0019086 
0fe569a 0fc1c82 0016fc6 
0fd6037 0fbe9b8 00096e9 
0fcfb88 0fb810e 00031ca 
0fdb9eb 0fb746e 000cef2 
0fe8d91 0fbd4fe 0019214 
0fe5670 0fc1e62 0016fb1 
0fd5ef6 0fbebc1 000958b 
0fcf8ef 0fb8247 0002edd 
0fdb5d7 0fb7563 000ca92 
0fe8a91 0fbd595 0018e31 
0fe56f6 0fc1f4f 0016ed7 
0fd6116 0fbec64 000966d 
0fcf934 0fb8367 0002ec9 
0fdb524 0fb75f4 000c9eb 
0fe8af0 0fbd538 0018f08 
0fe586e 0fc1fa0 001710e 
0fd61dc 0fbee1c 00098ba 
0fcf99f 0fb8424 00030e0 
0fdb642 0fb75d6 000cc19 
0fe8bd0 0fbd524 0019026 
0fe5ad4 0fc1fc0 00172c3 
0fd640c 0fbeee7 00099a7 
0fcf995 0fb8518 0002f5b 
0fdb4ab 0fb7619 000c8fb 
0fe8bb8 0fbd542 0018e26 
0fe5b32 0fc2058 0017262 
0fd64f4 0fbf088 0009a00 
0fcf90d 0fb8723 0002e30 
0fdb247 0fb7766 000c5dc 
0fe8980 0fbd63d 0018a5a 
0fe5ae1 0fc2222 0016f39 
0fd650a 0fbf280 0009713 
0fcf99e 0fb8885 0002c2a 
0fdb221 0fb786a 000c2f7 
0fe8939 0fbd76d 00187f7 
0fe5b49 0fc23c2 0016dba 
0fd6571 0fbf4f9 0009586 
0fcf7c8 0fb8b22 0002885 
0fdaf20 0fb7a2a 000beba 
0fe8837 0fbd89f 00184e2 
0fe5c2a 0fc2573 0016d0b 
0fd654f 0fbf719 0009500 
0fcf5bb 0fb8d1b 000279e 
0fdad1d 0fb7bdc 000be1c 
0fe8735 0fbda06 00185b8 
0fe5c97 0fc26c7 0016ef6 
0fd6758 0fbf88a 0009736 
0fcf73c 0fb8ef6 000282c 
0fdae56 0fb7dc8 000be3d 
0fe88f4 0fbdb7c 00186b0 
0fe5eff 0fc28bb 001700b 
0fd6969 0fbfad0 0009874 
0fcf819 0fb90c4 00028c9 
0fdae59 0fb7eca 000bdfd 
0fe8998 0fbdcd0 00186b4 
0fe5fbb 0fc2a25 0017050 
0fd6994 0fbfcb4 0009842 
0fcf7c4 0fb928a 0002830 
0fdac70 0fb8025 000bc3c 
0fe87ab 0fbddc3 0018539 
0fe5e75 0fc2b80 0016feb 
0fd6986 0fbfe22 00098e7 
0fcf705 0fb9429 00028a0 
0fdab82 0fb8118 000bc91 
0fe87f8 0fbde59 00185f5 
0fe6244 0fc2ce7 0017349 
0fd6d02 0fc0027 0009c7f 
0fcf85c 0fb95d2 0002a56 
0fdabc5 0fb821a 000bd4a 
0fe8725 0fbdf14 001861c 
0fe620d 0fc2dfe 001747c 
0fd6dc3 0fc01df 0009ea3 
0fcf8ff 0fb975e 0002bf5 
0fdabb4 0fb8398 000bd9d 
0fe86b6 0fbe0a9 00185f7 
0fe61ae 0fc2fcc 001749f 
0fd6c87 0fc0423 0009f04 
0fcf62c 0fb9972 0002b65 
0fda6f9 0fb8452 000bba7 
0fe833b 0fbe0c1 00184cd 
0fe6017 0fc3026 00174b2 
0fd6d01 0fc058e 0009f75 
0fcf602 0fb9b8f 0002ac0 
0fda55b 0fb85a5 000bad5 
0fe8363 0fbe1f4 0018626 
0fe61fd 0fc31e9 00177aa 
0fd6ef9 0fc0735 000a22d 
0fcf6b6 0fb9c30 0002c91 
0fda423 0fb8604 000b9c3 
0fe8271 0fbe154 001842b 
0fe651c 0fc3171 00178b7 
0fd72a0 0fc07a2 000a47a 
0fcf716 0fb9d1d 0002cc8 
0fda282 0fb85da 000b960 
0fe7fc6 0fbe0db 0018424 
0fe6129 0fc317f 00178e8 
0fd6e95 0fc0896 000a50b 
0fcf318 0fb9dd3 0002d70 
0fda047 0fb8647 000ba72 
0fe7edf 0fbe091 00184a4 
0fe62c6 0fc3137 0017aa0 
0fd70d1 0fc0868 000a701 
0fcf381 0fb9d8d 0002d8b 
0fd9ec2 0fb854c 000b8d3 
0fe7e95 0fbdf98 0018502 
0fe64d0 0fc30ad 0017cf6 
0fd72c5 0fc0871 000a88d 
0fcf4ec 0fb9d82 0002e00 
0fda040 0fb848e 000b912 
0fe809a 0fbdec0 00185aa 
0fe66db 0fc2fe6 0017e21 
0fd74ec 0fc07c0 000aaed 
0fcf59d 0fb9d27 0002ef4 
0fd9f80 0fb83b1 000b8a7 
0fe80ca 0fbddda 001851c 
0fe6860 0fc2f60 0017dc0 
0fd7620 0fc0775 000aa00 
0fcf5d1 0fb9caa 0002db7 
0fd9e0e 0fb82e5 000b666 
0fe7e82 0fbdcab 00182bd 
0fe6731 0fc2ec0 0017ccc 
0fd75c8 0fc0808 000a967 
0fcf502 0fb9d99 0002c42 
0fd9d59 0fb838f 000b463 
0fe7f42 0fbdd1f 00181a1 
0fe6847 0fc2f8a 0017c97 
0fd76f6 0fc0943 000a991 
0fcf3a6 0fb9ee7 0002b10 
0fd999d 0fb8413 000b265 
0fe7c63 0fbdcc1 00180a6 
0fe67ff 0fc2fd7 0017cfd 
0fd76cb 0fc0a79 000a9dd 
0fcf306 0fb9fb4 0002b14 
0fd9999 0fb84bc 000b260 
0fe7dee 0fbdd93 0018203 
0fe6b34 0fc3089 001811c 
0fd7a60 0fc0b04 000aef5 
0fcf4fe 0fba02b 0002dc6 
0fd9992 0fb84a0 000b294 
0fe7ccf 0fbdd41 00180f0 
0fe6b59 0fc30e8 001804f 
0fd7c22 0fc0c44 000af3b 
0fcf5f5 0fba107 0002dfc 
0fd98c0 0fb84a9 000b1c4 
0fe7aa3 0fbdcdb 0017f37 
0fe69c7 0fc30b6 0017f4c 
0fd7b94 0fc0beb 000af85 
0fcf4eb 0fba107 0002de0 
0fd980d 0fb8498 000b1bb 
0fe7d03 0fbdd10 0018186 
0fe6da5 0fc31a1 0018334 
0fd7d98 0fc0e86 000b246 
0fcf481 0fba3fd 0002ed4 
0fd96fd 0fb86f2 000b1d9 
0fe7c7a 0fbded9 001812c 
0fe6e84 0fc33ae 0018325 
0fd8043 0fc1105 000b238 
0fcf65b 0fba57b 0002dd3 
0fd9777 0fb878d 000b002 
0fe7dda 0fbdee5 0018100 
0fe6f9d 0fc33eb 00183b5 
0fd8038 0fc116e 000b2f6 
0fcf5ed 0fba6f5 0002d99 
0fd96e3 0fb8922 000af29 
0fe7d0a 0fbe083 0017efb 
0fe7105 0fc3629 001832f 
0fd82b8 0fc143e 000b3b8 
0fcf8a8 0fba97d 0002f9a 
0fd97c9 0fb8a75 000b05b 
0fe7d71 0fbe144 00180a4 
0fe723d 0fc372d 00185e5 
0fd840e 0fc15e7 000b636 
0fcf87a 0fbab2b 0002fb5 
0fd9675 0fb8b68 000ae82 
0fe7e3b 0fbe21b 0018002 
0fe7498 0fc3845 00186bb 
0fd85a1 0fc173c 000b71a 
0fcf711 0fbacb7 0002f01 
0fd9348 0fb8cac 000abbb 
0fe7a8b 0fbe357 0017c21 
0fe729a 0fc39b8 00183ec 
0fd85cb 0fc1973 000b540 
0fcf735 0fbaeca 0002d45 
0fd922a 0fb8e66 000aa67 
0fe7a4a 0fbe3e0 0017cf7 
0fe7291 0fc3a0f 00185ab 
0fd8554 0fc19b6 000b6cc 
0fcf555 0fbaed3 0002d95 
0fd8ed8 0fb8dd4 000a894 
0fe76f8 0fbe31d 00179c9 
0fe71c4 0fc399b 0018496 
0fd8616 0fc1a1a 000b7cc 
0fcf64e 0fbafa8 0002eed 
0fd8f68 0fb8db4 000a9bb 
0fe78bb 0fbe2bf 0017c73 
0fe74ab 0fc3969 0018820 
0fd888e 0fc1a80 000ba9a 
0fcf68d 0fbb001 0002f75 
0fd8e95 0fb8db6 000a922 
0fe75f4 0fbe1de 00179c0 
0fe738a 0fc3904 00186aa 
0fd876f 0fc1a59 000b93d 
0fcf302 0fbaf01 0002c5a 
0fd8a59 0fb8be7 000a582 
0fe73ad 0fbe01e 001777a 
0fe7245 0fc378c 0018532 
0fd87ad 0fc190e 000b8be 
0fcf39f 0fbae26 0002b23 
0fd89f4 0fb8a6a 000a3ae 
0fe74b2 0fbde10 0017744 
0fe7526 0fc3610 0018654 
0fd89e5 0fc1872 000b9f8 
0fcf46f 0fbad96 0002c13 
0fd89e6 0fb8972 000a306 
0fe74af 0fbdc8d 0017635 
0fe75e6 0fc3486 00185f4 
0fd8ad5 0fc17a1 000b9dc 
0fcf4cc 0fbaced 0002bda 
0fd8844 0fb8821 000a1b8 
0fe72e8 0fbdb84 00174fc 
0fe75a2 0fc3433 0018634 
0fd8b2f 0fc17bb 000ba91 
0fcf3d5 0fbace0 0002a2e 
0fd8731 0fb87a2 0009ef1 
0fe72f9 0fbda21 0017358 
0fe75b2 0fc32eb 0018522 
0fd8af6 0fc1738 000b9c6 
0fcf297 0fbacd3 0002968 
0fd8529 0fb8799 0009e52 
0fe7161 0fbda76 001728a 
0fe7718 0fc3379 0018622 
0fd8dff 0fc17ce 000bbfc 
0fcf520 0fbad89 0002b0b 
0fd8580 0fb87a2 0009de7 
0fe7124 0fbd9e3 00171e3 
0fe7721 0fc33a2 0018675 
0fd8e83 0fc18c8 000bca7 
0fcf2c6 0fbae3e 00028ea 
0fd81ad 0fb872b 0009a30 
0fe6dfc 0fbd8f2 0016ef7 
0fe74b6 0fc32eb 0018433 
0fd8c65 0fc1973 000bb10 
0fcf226 0fbaf78 00028c7 
0fd8112 0fb88d5 00099d5 
0fe6ea1 0fbda71 0016f20 
0fe7795 0fc347d 0018604 
0fd8f89 0fc1b37 000bc3e 
0fcf40f 0fbb129 0002871 
0fd8143 0fb89b8 00097bc 
0fe6f43 0fbdb7f 0016cda 
0fe78c5 0fc365e 0018425 
0fd90d9 0fc1df8 000bb6d 
0fcf31e 0fbb367 0002691 
0fd7ed9 0fb8b32 000959c 
0fe6c94 0fbdc6b 0016b26 
0fe7743 0fc3803 001837a 
0fd9059 0fc1f68 000baed 
0fcf18f 0fbb4ef 000246d 
0fd7d27 0fb8cb5 00092ea 
0fe6acd 0fbdd42 0016842 
0fe77b8 0fc38e2 00182f2 
0fd926c 0fc217b 000bc51 
0fcf1b6 0fbb6cf 0002532 
0fd7c57 0fb8dfa 000936f 
0fe6b4b 0fbde20 0016991 
0fe79a7 0fc39c4 00184dd 
0fd936b 0fc21fc 000bd18 
0fcf328 0fbb830 000261e 
0fd7cb7 0fb8f15 000928c 
0fe6c47 0fbdf92 0016912 
0fe7b8e 0fc3bc5 001852c 
0fd960f 0fc2503 000be6f 
0fcf4de 0fbbaf7 00026ff 
0fd7d56 0fb90c5 000927f 
0fe6ca7 0fbe091 0016880 
0fe7cb8 0fc3d0c 00185a0 
0fd9832 0fc273f 000c055 
0fcf634 0fbbd7c 0002854 
0fd7cfc 0fb9366 0009264 
0fe6d17 0fbe2fa 0016868 
0fe7eef 0fc3f65 00186ad 
0fd9adf 0fc29bd 000c148 
0fcf7bc 0fbc028 0002790 
0fd7cb1 0fb9504 0009016 
0fe6c8d 0fbe42b 0016752 
0fe7fd3 0fc40b5 001882a 
0fd9bfd 0fc2b68 000c313 
0fcf6e8 0fbc1be 0002789 
0fd7a78 0fb966d 0008ef0 
0fe69ce 0fbe47e 00165a9 
0fe7e76 0fc413f 00186e9 
0fd9b53 0fc2ce7 000c1f6 
0fcf619 0fbc30c 0002720 
0fd78f6 0fb9680 0008f10 
0fe68cd 0fbe3e2 0016696 
0fe7dd8 0fc4041 001893d 
0fd9a75 0fc2c40 000c556 
0fcf35f 0fbc28d 000296b 
0fd74fb 0fb9575 0008ff3 
0fe65a0 0fbe314 0016757 
0fe7cf7 0fc40a7 0018a2c 
0fd9c3a 0fc2cad 000c723 
0fcf458 0fbc1e9 0002a34 
0fd7518 0fb940d 0009040 
0fe668a 0fbe152 0016884 
0fe7e45 0fc3e80 0018d26 
0fd9b7f 0fc2ad7 000ca02 
0fcf36b 0fbc0fd 0002d12 
0fd7414 0fb938c 00091ff 
0fe6632 0fbe01f 0016aae 
0fe7f29 0fc3d15 0019008 
0fd9d59 0fc2a0b 000cd45 
0fcf565 0fbc0b5 0002f92 
0fd7589 0fb92fc 0009338 
0fe6655 0fbdf21 00169bf 
0fe8118 0fc3d1f 001903b 
0fda05c 0fc2aef 000ce65 
0fcf72d 0fbc146 0002ffa 
0fd73db 0fb9299 0009197 
0fe64f8 0fbded9 0016969 
0fe81a9 0fc3ca8 00191c8 
0fda121 0fc2a73 000cfd4 
0fcf6d4 0fbc053 0002fa7 
0fd741e 0fb919c 0009137 
0fe6659 0fbddd0 00169bb 
0fe82d6 0fc3c1b 0019313 
0fda1f1 0fc2a4b 000d1ee 
0fcf71e 0fbc092 0003232 
0fd72ef 0fb9108 0009307 
0fe6494 0fbdc6d 0016b64 
0fe8188 0fc3b1c 00194a6 
0fda15f 0fc2a03 000d32c 
0fcf5e0 0fbbff5 0003215 
0fd715f 0fb9010 000925c 
0fe64b2 0fbdb9a 0016bc6 
0fe823c 0fc3a2b 001950b 
0fda295 0fc29b3 000d425 
0fcf62c 0fbc00b 0003311 
0fd6fb4 0fb8fd8 000921a 
0fe620b 0fbdb2f 0016a58 
0fe8225 0fc3a0b 00195e2 
0fda414 0fc29bb 000d5f5 
0fcf632 0fbc095 000326e 
0fd702f 0fb9083 00091a0 
0fe6451 0fbdb67 0016b70 
0fe853a 0fc3a6f 00197b1 
0fda581 0fc2afa 000d6d1 
0fcf6bb 0fbc1cb 0003374 
0fd6eca 0fb90a4 00090f9 
0fe6388 0fbdb79 0016a8c 
0fe8468 0fc3bbf 0019718 
0fda55a 0fc2cfe 000d73e 
0fcf60b 0fbc3db 000334f 
0fd6d6e 0fb9281 000906e 
0fe610b 0fbdce0 0016969 
0fe8390 0fc3c97 001969e 
0fda68d 0fc2e9a 000d83a 
0fcf76a 0fbc5a7 0003594 
0fd6d97 0fb93a9 000925a 
0fe6219 0fbde11 0016d47 
0fe8672 0fc3e64 0019dd7 
0fda914 0fc3057 000dfff 
0fcf76e 0fbc79d 0003aba 
0fd6b13 0fb953c 00094b4 
0fe5eb8 0fbdecb 0016df3 
0fe83a2 0fc3fc3 0019d6a 
0fda863 0fc3333 000dfae 
0fcf7e7 0fbca66 0003a9d 
0fd6b79 0fb9780 000941b 
0fe5f9f 0fbe0b0 0016d84 
0fe8606 0fc4152 0019e87 
0fdaa5e 0fc3442 000e14c 
0fcf67e 0fbcbc3 00039d2 
0fd687d 0fb98c4 000925d 
0fe5e3f 0fbe107 0016c6a 
0fe85cd 0fc4161 0019e89 
0fdabb9 0fc3528 000e31a 
0fcf84d 0fbcd51 0003c9f 
0fd6822 0fb99ec 000937c 
0fe5bf9 0fbe1f6 0016c85 
0fe84df 0fc42a0 001a057 
0fdaa73 0fc36c2 000e418 
0fcf691 0fbce9b 0003bda 
0fd670b 0fb9a9b 00092c1 
0fe5c3b 0fbe291 0016cb2 
0fe8708 0fc4335 001a1e4 
0fdadbf 0fc37d3 000e737 
0fcf902 0fbcfcc 0003f39 
0fd67b2 0fb9bc6 00093f2 
0fe5c03 0fbe325 0016c20 
0fe8833 0fc443a 001a251 
0fdaf02 0fc3997 000e71e 
0fcfa21 0fbd193 0003e98 
0fd67e4 0fb9c50 0009366 
0fe5cc8 0fbe32d 0016d73 
0fe8934 0fc447d 001a40e 
0fdb08a 0fc3a2f 000e9e7 
0fcf8c8 0fbd1e1 0003f7b 
0fd65c9 0fb9c27 0009403 
0fe5a80 0fbe2f8 0016d2e 
0fe8818 0fc443e 001a4e9 
0fdb159 0fc3a50 000ec5d 
0fcfa6a 0fbd217 00041fc 
0fd662e 0fb9c27 0009504 
0fe5bb3 0fbe258 0016f0f 
0fe88be 0fc442c 001a5f5 
0fdb097 0fc3a54 000eb39 
0fcf8c7 0fbd299 0003fc4 
0fd6374 0fb9c38 0009162 
0fe5a33 0fbe22e 0016ba3 
0fe8a80 0fc43c9 001a5b9 
0fdb33a 0fc3ac3 000ed9d 
0fcfa33 0fbd29e 00041e2 
0fd6404 0fb9b5b 00092a3 
0fe5b16 0fbe126 0016da2 
0fe8b16 0fc4309 001a69f 
0fdb2f3 0fc39f0 000ec58 
0fcfaa3 0fbd1d1 00040e1 
0fd6523 0fb9ac7 000924c 
0fe5b71 0fbe0a4 0016d21 
0fe8ae8 0fc425e 001a75f 
0fdb218 0fc392d 000ed8b 
0fcf802 0fbd1a6 00040aa 
0fd6086 0fb9aab 000907e 
0fe5715 0fbe007 0016a4f 
0fe889e 0fc41da 001a459 
0fdb23a 0fc3938 000ebb6 
0fcf7a3 0fbd1b1 0003eed 
0fd5f66 0fb99e7 0008ebf 
0fe5567 0fbde5b 001689d 
0fe8927 0fc4051 001a5cd 
0fdb47e 0fc3893 000ef8d 
0fcf816 0fbd119 000406f 
0fd5dc6 0fb9904 0008d81 
0fe55e9 0fbddd2 00168ed 
0fe8b82 0fc40a4 001a6fc 
0fdb5d8 0fc39dd 000efd6 
0fcf90b 0fbd21f 0004159 
0fd5e46 0fb98f2 0008e61 
0fe5607 0fbdd20 0016919 
0fe8c32 0fc401c 001a7eb 
0fdb7ea 0fc39a6 000f1f2 
0fcfbe1 0fbd291 0004310 
0fd5f2a 0fb98ba 0008e0a 
0fe56a7 0fbdc01 0016914 
0fe8c9e 0fc3fe0 001a88d 
0fdb703 0fc3a92 000f18f 
0fcf9c3 0fbd348 0004186 
0fd5cdd 0fb99c8 0008be5 
0fe53f5 0fbdd29 001661e 
0fe8b93 0fc40b2 001a6bb 
0fdb8bf 0fc3bab 000f233 
0fcfa7a 0fbd4aa 00041a6 
0fd5a76 0fb9abd 0008a58 
0fe5267 0fbdd8c 00165db 
0fe8cd7 0fc416d 001a895 
0fdbabb 0fc3ca8 000f4f2 
0fcfb83 0fbd5b5 000435e 
0fd5c1c 0fb9b39 0008b45 
0fe5435 0fbde40 001660a 
0fe8f26 0fc4254 001a99d 
0fdbcfb 0fc3e35 000f5a2 
0fcfc8a 0fbd7e9 000420c 
0fd5a7c 0fb9d4e 000885d 
0fe558f 0fbdfd1 0016595 
0fe9297 0fc4406 001aa61 
0fdc14a 0fc406b 000f779 
0fd0053 0fbda04 000444f 
0fd5cbd 0fb9eb2 00089ba 
0fe5382 0fbe093 001639c 
0fe8f0d 0fc4420 001a7d1 
0fdbe82 0fc4116 000f567 
0fcfcc6 0fbdae1 000413b 
0fd5810 0fb9f89 0008605 
0fe5080 0fbe165 00160f7 
0fe8f9d 0fc461c 001a79e 
0fdbf51 0fc42d1 000f567 
0fcfccd 0fbdc40 000418b 
0fd56fe 0fba022 0008587 
0fe4e53 0fbe146 0015f89 
0fe8dcb 0fc45e1 001a636 
0fdbf00 0fc440f 000f439 
0fcfbc6 0fbde76 0003edb 
0fd55f2 0fba1c0 00082a3 
0fe4fc5 0fbe286 0015edb 
0fe913f 0fc4770 001a7f8 
0fdc2b7 0fc45b7 000f7ef 
0fcfebd 0fbdf79 00042db 
0fd5738 0fba278 0008520 
0fe5089 0fbe327 0016020 
0fe9261 0fc47e0 001a8d2 
0fdc5a7 0fc45f0 000f9cf 
0fd00e7 0fbe05a 00044c8 
0fd57e9 0fba308 0008626 
0fe4fac 0fbe2bb 001609e 
0fe9101 0fc473d 001a9d0 
0fdc3c9 0fc463a 000fa86 
0fcfe00 0fbe0df 0004355 
0fd520e 0fba234 00081a0 
0fe4b82 0fbe135 0015c0d 
0fe9089 0fc4648 001a758 
0fdc4af 0fc4614 000f95e 
0fcff32 0fbe13f 0004286 
0fd5303 0fba27a 00080c1 
0fe4cc8 0fbe16c 0015c9c 
0fe9176 0fc46b0 001a882 
0fdc4cd 0fc46df 000f9fe 
0fcff58 0fbe16d 00042a0 
0fd533f 0fba276 0007fe4 
0fe4cc3 0fbe097 0015abc 
0fe93b6 0fc45ab 001a896 
0fdc842 0fc468a 000fbb3 
0fd00b6 0fbe14a 0004329 
0fd530c 0fba191 0007fcb 
0fe4c28 0fbdfa0 0015a58 
0fe949c 0fc4536 001a86b 
0fdcb0b 0fc4691 000fbee 
0fd025e 0fbe1a3 000420c 
0fd5400 0fba1de 0007e46 
0fe4ca4 0fbdf78 00158ac 
0fe960f 0fc4574 001a87e 
0fdcc50 0fc4793 000fcfc 
0fd0198 0fbe312 0004223 
0fd5004 0fba272 0007b9e 
0fe4944 0fbdfd7 00155f0 
0fe9353 0fc45fb 001a618 
0fdcc7c 0fc4867 000fcee 
0fd01d2 0fbe39c 000424d 
0fd4eb9 0fba312 0007b2d 
0fe47ed 0fbdfb4 00155d5 
0fe92a0 0fc45c4 001a690 
0fdca29 0fc48f8 000fbd3 
0fcff0a 0fbe473 0004021 
0fd4bbb 0fba360 00077a7 
0fe4644 0fbdfc9 00152c3 
0fe93e2 0fc4631 001a613 
0fdce19 0fc49a3 000fddc 
0fd02e1 0fbe5de 00042aa 
0fd4d5f 0fba439 0007980 
0fe4683 0fbdf97 0015382 
0fe945d 0fc4676 001a622 
0fdcf5e 0fc4afe 000fdff 
0fd0385 0fbe6fa 00041a6 
0fd4cef 0fba4d9 0007734 
0fe45a7 0fbe035 001516f 
0fe9523 0fc46c1 001a6cc 
0fdcf11 0fc4ba5 000feb8 
0fd0120 0fbe7ca 000427b 
0fd48b7 0fba50b 0007795 
0fe4381 0fbdfe7 00152ff 
0fe942b 0fc4713 001a8e9 
0fdcf72 0fc4c4a 00101b0 
0fd0300 0fbe8d7 0004610 
0fd4a70 0fba616 0007ae3 
0fe437a 0fbe0be 001554b 
0fe94ed 0fc47cd 001ac24 
0fdd0fd 0fc4e2a 00105e6 
0fd033d 0fbeaaa 000492e 
0fd48f4 0fba757 0007c5e 
0fe4227 0fbe166 0015655 
0fe9550 0fc48af 001ae7e 
0fdd2ee 0fc4f54 0010a3f 
0fd03da 0fbecde 0004cbc 
0fd46f4 0fba93c 0007d96 
0fe41e1 0fbe311 00158a1 
0fe95fd 0fc4a47 001b132 
0fdd488 0fc512f 0010c56 
0fd0669 0fbee60 0004de5 
0fd48ea 0fba9dc 0007d6d 
0fe424f 0fbe2c6 001586f 
0fe9792 0fc4a26 001b358 
0fdd5e7 0fc51a8 0010f1c 
0fd064e 0fbef87 0004fbf 
0fd4733 0fbab62 0007f34 
0fe40e2 0fbe444 0015936 
0fe97cc 0fc4bbf 001b390 
0fdd724 0fc5377 0010f67 
0fd072e 0fbf0ee 0004ffc 
0fd4807 0fbac10 0007f0c 
0fe407a 0fbe438 00158eb 
0fe970a 0fc4bb1 001b4a3 
0fdd651 0fc544f 001112e 
0fd05aa 0fbf239 0005169 
0fd4485 0fbace2 0007ef7 
0fe3fac 0fbe432 00159c6 
0fe9825 0fc4b53 001b6af 
0fdd84b 0fc53eb 00114af 
0fd05e1 0fbf178 0005365 
0fd4228 0fbab90 0007edc 
0fe3be5 0fbe2bf 0015893 
0fe94ac 0fc4a48 001b56c 
0fdd5f8 0fc5375 00113dd 
0fd0461 0fbf157 0005317 
0fd4189 0fbaad1 0007eb7 
0fe3c0f 0fbe1fa 0015947 
0fe956f 0fc49fe 001b746 
0fdd652 0fc531f 0011605 
0fd0544 0fbf125 00055d6 
0fd4116 0fbab05 000805f 
0fe3b2c 0fbe136 0015a9b 
0fe972e 0fc4892 001ba48 
0fdda36 0fc525d 00119ad 
0fd079a 0fbf0c2 00057a4 
0fd4240 0fba98c 00080e4 
0fe3bbf 0fbdf94 0015a61 
0fe97cc 0fc47b4 001bacf 
0fddad5 0fc5278 0011ad8 
0fd072f 0fbf0d5 00057b1 
0fd401b 0fba922 0007eee 
0fe3a68 0fbdf0d 00158e8 
0fe9821 0fc4755 001ba6d 
0fddb19 0fc51ef 0011a74 
0fd06c4 0fbf096 00056fe 
0fd3f27 0fba8f0 0007f51 
0fe38a0 0fbde68 0015938 
0fe976b 0fc46a8 001bb44 
0fddc07 0fc52b5 0011cb5 
0fd0743 0fbf1b9 00058d3 
0fd403f 0fba9f5 00080cf 
0fe3a17 0fbdf57 0015a87 
0fe989f 0fc47b1 001bd31 
0fdddc7 0fc540d 0011f43 
0fd084a 0fbf2cd 0005ab7 
0fd3e7b 0fbaa31 0007fce 
0fe38c3 0fbded7 0015995 
0fe9867 0fc4738 001bc3c 
0fdde9b 0fc53bb 0011e6d 
0fd0a07 0fbf32f 0005a7d 
0fd3f7e 0fbaab5 0007f7a 
0fe3959 0fbdf1c 0015914 
0fe9a39 0fc47e5 001bd99 
0fddf88 0fc54b8 0011fe6 
0fd0948 0fbf416 0005aef 
0fd3de8 0fbab5c 0007f48 
0fe38cf 0fbdf69 0015909 
