0fd2856 000dc1c 0fc6b48 0fc0127 0fb1abb 
0fc2a55 0fdca9f 0fb925d 0fb1021 0fa7e01 
0fc4954 0fdd2a5 0fb9ff0 0fb30c1 0fa7ebd 
0fc8543 0fde539 0fbe716 0fb6b00 0fa7d2f 
0fc07fa 0fea217 0fb64db 0faec61 0fa686b 
0fc9841 0fdfb3c 0fbebfa 0fb7edf 0fa6c7c 
0fc2906 0fec60c 0fb8d29 0fb0cd3 0fa62d1 
0fc447c 0ffa7dd 0fb95ef 0fb2952 0fa548a 
0fc7ce2 0fe627b 0fbdc77 0fb6166 0fa50b9 
0fbfa33 0006124 0fb5990 0faddf1 0fa49bf 
0fc88ca 0fe0b50 0fbdf89 0fb6e7b 0fa5d9a 
0fc1559 0fdda54 0fb7d55 0faf99c 0fa6fd3 
0fc2ae9 0fdd450 0fb7d46 0fb0fe9 0fa7f95 
0fc5ec9 0fdc956 0fbbafb 0fb4242 0fa9728 
0fbd23a 0fdbe06 0fb2a6f 0fab51b 0faac26 
0fc5ae7 0fdb5b0 0fba8b0 0fb3ea2 0facb8c 
0fbe2e6 0fdd64d 0fb42d6 0fac454 0fadba5 
0fbf0c2 0fe7459 0fb3dcc 0fad2a3 0faef22 
0fc20f8 0fdc682 0fb7bbc 0fb02f9 0fb0ec2 
0fb91f6 0ff34bc 0faec1b 0fa7262 0fb1ad7 
0fc1829 0fda50b 0fb68be 0fafb32 0fb330c 
0fb9d31 0fda5dd 0faf949 0fa7e42 0fb378f 
0fbac73 0fdb75b 0faf703 0fa8f25 0fb4667 
0fbe3e0 0fd77d4 0fb3c21 0fac54b 0fb6079 
0fb580d 0ff0faf 0faaf45 0fa3714 0fb68a1 
0fbe656 0fdc3bc 0fb32c8 0fac75a 0fb7e7f 
0fb79c0 0ff5976 0fad688 0fa580b 0fb859e 
0fb941a 000a17f 0fadbb7 0fa7426 0fb8749 
0fbdb65 0fff67d 0fb2dd3 0faba15 0fb8812 
0fb57de 0027c8a 0faaaeb 0fa3945 0fb7280 
0fbf6c6 00217c7 0fb3d85 0fad78c 0fb6ffd 
0fb8f5e 0026006 0faeaca 0fa6fa6 0fb6462 
0fbaeaa 00268c1 0faf95c 0fa9103 0fb5e04 
0fbfcb5 00238f5 0fb53b0 0fadd74 0fb584b 
0fb7a8d 0027311 0fad4d7 0fa5c2e 0fb5a7a 
0fc175d 0023808 0fb68c7 0faf9ef 0fb699c 
0fbb468 0024eab 0fb1a56 0fa9561 0fb637f 
0fbd133 0025360 0fb26a5 0fab46d 0fb6b01 
0fc1a6c 00223ca 0fb7dd0 0fafc78 0fb7d7b 
0fb90cc 0026080 0faf6be 0fa737b 0fb90d6 
0fc2491 0022966 0fb823f 0fb07ef 0fbc3c1 
0fbb7db 0024610 0fb2a67 0fa9946 0fbedec 
0fbc876 00251ad 0fb2f5a 0faaccf 0fc0e12 
0fc0649 0022967 0fb7b9e 0fae896 0fc2184 
0fb6c53 0026ff9 0fae87c 0fa4ed2 0fc190a 
0fbf2ea 002426e 0fb60f2 0fad5c7 0fc1530 
0fb7601 0026abf 0faf372 0fa56ff 0fbf9b4 
0fb7774 00282ca 0fade2d 0fa5963 0fbe9df 
0fbab1b 0026538 0fb1912 0fa8a54 0fc0555 
0fb0c57 002b374 0fa7800 0f9ebac 0fc1c5a 
0fb8b7a 0028e7f 0faeb46 0fa6b71 0fc43f4 
0fb0bac 002bc97 0fa7ba6 0f9ea4d 0fc5bc7 
0fb0d2f 002d71d 0fa6a95 0f9ee2d 0fc806f 
0fb41f6 002ba6c 0fab349 0fa2380 0fc93e2 
0faa52f 00307b2 0fa17d6 0f9877c 0fc89f5 
0fb2671 002e152 0fa90eb 0fa0a0f 0fc99a6 
0faa9fd 0030d22 0fa2532 0f98c0f 0fd4c8c 
0faa6b9 0032aa6 0fa0bd6 0f98ab4 0feba23 
0fad984 0030fd4 0fa4d50 0f9bcfd 0fd954d 
0fa316e 003644c 0f9a64e 0f915ec 001d512 
0faa335 00346db 0fa06f4 0f987c6 0017b98 
0fa1643 0037c4f 0f98267 0f8f8a9 0033fc0 
0fa0417 003a282 0f94f2e 0f8e85a 003ac6c 
0fa27a2 003918a 0f972a4 0f90a19 0039b71 
0f97311 003ee4e 0f8c084 0f856e4 003f857 
0f9ddcd 003d8a7 0f923ec 0f8c28c 003e29e 
0f9570f 0041042 0f8b2ba 0f83a6c 0041a54 
0f94866 0043860 0f89397 0f82d98 004426f 
0f973da 0042758 0f8ce32 0f85770 0043164 
0f8cbf9 0047f8a 0f82947 0f7b05f 00489b4 
0f944e7 0046342 0f897aa 0f82a7a 0046d58 
0f8c8dd 00492fe 0f82a2d 0f7acee 0049d35 
0f8bb18 004b6fe 0f807d3 0f7a195 004c12d 
0f8ee2f 004a164 0f847fa 0f7d398 004ab92 
0f84da6 004f5bd 0f7adfc 0f73458 004fffc 
0f8cc61 004d91c 0f823a9 0f7b3f9 004e344 
0f858aa 00508c8 0f7c0b6 0f73e9c 005130f 
0f853e8 0052ce9 0f7a92b 0f73b6e 0053727 
0f88d0f 0051771 0f7ebaf 0f772f9 00521a7 
0f7efe5 0056c01 0f74e22 0f6d63e 0057651 
0f873e4 0054ba3 0f7c3a3 0f75aa3 00555df 
0f807ff 0057633 0f7680c 0f6eca8 0058086 
0f80c25 00594b3 0f75927 0f6f26a 0059f01 
0f8570c 00573b8 0f7acab 0f73bbb 0057e05 
0f7c9ef 005bcce 0f7205f 0f6af13 005c72f 
0f857e1 0059329 0f7a300 0f73e15 0059d6f 
0f7f8a5 005b2bc 0f7565d 0f6dd0b 005bd1d 
0f8066d 005c638 0f75282 0f6ecd0 005d087 
0f85943 0059bff 0f7af9d 0f73ea0 005a64d 
0f7d361 005db6b 0f72d7a 0f6b99c 005e5cf 
0f86b23 005a73b 0f7bb69 0f7529b 005b184 
0f81744 005baef 0f77b71 0f6fd8d 005c54e 
0f82d2b 005c523 0f78224 0f715e2 005cf72 
0f89113 0058cd5 0f7efaf 0f778a5 0059720 
0f81911 005bfaf 0f77aff 0f70124 005ca09 
0f8be29 005800a 0f81321 0f7a6d1 0058a49 
0f877b6 005884f 0f7dbf2 0f75eb8 005929f 
0f89629 0058918 0f7e728 0f77ef7 0059355 
0f8ff64 00549dc 0f85964 0f7e6ff 005540c 
0f888c7 005772b 0f7e3f0 0f77089 005816d 
0f9316a 00531ed 0f87bc1 0f8198e 0053c12 
0f8f061 00532d8 0f84643 0f7d679 0053d0c 
0f911eb 0052cb4 0f851b7 0f7f9b3 005365a 
0f9834c 004e4d7 0f8ccd9 0f869d4 0036512 
0f916ab 005096b 0f8638c 0f7fd9e 002b51a 
0f9cb76 004bb28 0f90c1f 0f8b35a 0fcfb1f 
0f99876 004b3f5 0f8eb88 0f87e56 0fabd35 
0f9c891 004a4d2 0f908cb 0f8b08f 0fa9165 
0fa4da2 00450e5 0f993f1 0f93483 0fa641c 
0f9edfc 0046a3b 0f93818 0f8d616 0fa0ec6 
0faafd4 00411a3 0f9ed10 0f9992e 0f9e039 
0fa834c 00400dd 0f9d39b 0f96b50 0f9df31 
0faaf22 003ef03 0f9eaf6 0f999b4 0f9c7a1 
0fb3117 0039a1d 0fa7661 0fa19d9 0f9bcec 
0facda9 003b2fd 0fa15c3 0f9b5cf 0f9b25a 
0fb8cbb 00358c1 0fac4ee 0fa76fb 0f9b043 
0fb6841 003422c 0faaef9 0fa5192 0f98891 
0fb9a3c 002c494 0fac781 0fa8528 0f97d76 
0fc2274 0ff79bf 0fb51f7 0fb09ac 0f96fbb 
0fbbb60 0003d46 0faf85a 0faa26b 0f94c73 
0fc7645 0fd47fd 0fba962 0fb60e4 0f940f1 
0fc47e8 0fd04a0 0fb9105 0fb3165 0f929f9 
0fc6faa 0fcfe03 0fbab6c 0fb5afe 0f912b5 
0fcf1ec 0fcf91c 0fc355a 0fbdb93 0f90785 
0fc8500 0fcc092 0fbcc5c 0fb6ec1 0f90b73 
0fd36c6 0fc861f 0fc7131 0fc2111 0f93a13 
0fcf938 0fc549a 0fc4948 0fbe1bd 0f964a4 
0fd0d73 0fbfcc1 0fc4dc3 0fbf7a1 0f9b6cb 
0fd77d7 0fbb438 0fcc19c 0fc6036 0fa1eac 
0fcf340 0fb5b6c 0fc3e25 0fbdbbd 0fa79b8 
0fd8ccb 0fb295d 0fccaaa 0fc7631 0fad88e 
0fd39cf 0fb0fda 0fc8afa 0fc21c8 0fb1947 
0fd39c3 0fb171f 0fc7b7c 0fc23fb 0fb3a6c 
0fd9b59 0fb2c81 0fce6b4 0fc8405 0fb5ea3 
0fd0c5c 0fb2880 0fc5bcb 0fbf51d 0fb6900 
0fd9ee9 0fb3b60 0fce0ae 0fc87fe 0fb7dae 
0fd4903 0fb4a2a 0fc9fae 0fc3078 0fb85cb 
0fd3d4e 0fb8821 0fc82f0 0fc254d 0fb8429 
0fd933d 0fbd273 0fce1ad 0fc7a49 0fb8b6b 
0fcf806 0fbfccf 0fc4b25 0fbe081 0fb7ebf 
0fd820f 0fc3495 0fcc6d6 0fc6b91 0fb7925 
0fd286e 0fc6ceb 0fc7fff 0fc1042 0fb6537 
0fd1dfc 0fc9fb0 0fc668d 0fc082a 0fb5cd4 
0fd78da 0fcd9fa 0fccc6b 0fc6289 0fb623f 
0fce4c2 0fd0066 0fc3ee1 0fbcf73 0fb52ac 
0fd7205 0fd2ef8 0fcc314 0fc5e35 0fb5023 
0fd1e77 0fd51c1 0fc869f 0fc09b5 0fb4a3a 
0fd10a7 0fd90c3 0fc6e8c 0fbfe80 0fb56be 
0fd6cea 0fdd743 0fcd4fb 0fc59c0 0fb6b54 
0fcd9a3 0fdf641 0fc4312 0fbc6be 0fb6862 
0fd6817 0fe1446 0fcc1ed 0fc55ed 0fb60db 
0fd1764 0fe0a90 0fc809d 0fc02dc 0fb75f9 
0fd0863 0fde381 0fc5db8 0fbf547 0fba995 
0fd5f1a 0fdcaf4 0fcbdba 0fc4b1d 0fbe57c 
0fcbf96 0fdd05e 0fc249c 0fbab2b 0fbf6f7 
0fd3f36 0fe0190 0fc97f1 0fc2b2b 0fc0d7d 
0fce9af 0fe1287 0fc59bb 0fbd421 0fc2ced 
0fcd4b6 0fe3fb1 0fc33f6 0fbc194 0fc3435 
0fd3044 0fe8a20 0fc91a8 0fc1b5b 0fc37d2 
0fc9cee 0ff1993 0fbfd65 0fb8718 0fc4218 
0fd25bd 0fef97c 0fc73c0 0fc10e9 0fc5034 
0fcdeb4 0ff61f0 0fc3ca3 0fbc7bd 0fc7026 
0fcd4c6 000dec0 0fc1dce 0fbbe80 0fc81d0 
0fd3523 000fcca 0fc8477 0fc1e77 0fc6c92 
0fca381 001610d 0fbf902 0fb8dd8 0fc2bd7 
0fd2cf0 0013059 0fc77f9 0fc18c1 0fc10dc 
0fce708 0013944 0fc4590 0fbd02a 0fbf2a4 
0fcdcff 0014cea 0fc2b98 0fbc6fb 0fbe782 
0fd456e 00113f2 0fc9a65 0fc2e38 0fbd565 
0fcba9d 0014bf8 0fc10fb 0fba2da 0fb92e9 
0fd4760 00119fe 0fc8e9b 0fc30f7 0fb6d35 
0fd01a3 001249c 0fc5ac4 0fbe95a 0fb4899 
0fcf294 0013b74 0fc3bce 0fbdc38 0fb37b7 
0fd54df 00106fd 0fca30c 0fc3d48 0fb391d 
0fcbb99 0014607 0fc0f80 0fba3c9 0fb3c8b 
0fd3b3d 0011af2 0fc8484 0fc246d 0fb440b 
0fced4c 00129af 0fc4c9c 0fbd449 0fb3da2 
0fcd444 00146ca 0fc24fb 0fbbca8 0fb3f88 
0fd312f 00116f8 0fc87b4 0fc1875 0fb5694 
0fc9498 00159ff 0fbeeaa 0fb7c2d 0fb735f 
0fd10d7 00133af 0fc5a8a 0fbf9b4 0fb97e4 
0fcbede 001460f 0fc1917 0fba611 0fba943 
0fca0c9 00165b7 0fbeb4c 0fb89b0 0fba736 
0fcff42 001359f 0fc511c 0fbe6c1 0fba3b4 
0fc61ea 00178e1 0fbbb93 0fb49d6 0fb8aad 
0fce050 0015263 0fc2dfe 0fbc8f1 0fb75d3 
0fc96b9 0016270 0fbf7c9 0fb7cb7 0fb5721 
0fc7e00 00180d1 0fbd198 0fb6584 0fb2bf7 
0fcdb9e 0015235 0fc3991 0fbc1df 0fb343b 
0fc3e7e 00195ff 0fba425 0fb24c9 0fb3807 
0fcbcd3 0017023 0fc1263 0fba488 0fb522a 
0fc70b5 00180f0 0fbd74a 0fb5673 0fb6318 
0fc553c 001a16b 0fbaa97 0fb3cbb 0fb6703 
0fcbe96 0016e39 0fc159d 0fba525 0fb7140 
0fc28bc 001aea9 0fb838a 0fb0e7c 0fb7147 
0fcadf0 0018553 0fbf92f 0fb94f5 0fb8207 
0fc6bd6 0019081 0fbc7f5 0fb50d6 0fb88d7 
0fc5804 001ae26 0fba53d 0fb3e46 0fb8681 
0fccc35 001768d 0fc1fc7 0fbb0f3 0fb97c3 
0fc3ec8 001b15e 0fb9909 0fb235d 0fb91d0 
0fcce42 001809b 0fc1afe 0fbb434 0fb8eba 
0fc8e59 001876e 0fbef1b 0fb7289 0fb8ea2 
0fc7788 001a164 0fbc9c7 0fb5dbe 0fb9c91 
0fce6de 00167d0 0fc401a 0fbcc41 0fbc200 
0fc51de 001a476 0fbb264 0fb36b8 0fbe7ca 
0fcdc6e 001761c 0fc2cfa 0fbc232 0fc2862 
0fc9974 0017eee 0fbff0c 0fb7db8 0fc60b8 
0fc7dba 0019c38 0fbd33a 0fb63b2 0fca440 
0fce5c1 00167f1 0fc4300 0fbcabd 0fcf3c0 
0fc498f 001a910 0fbad0f 0fb2e1a 0fd355d 
0fcc6af 0018291 0fc1d12 0fbad03 0fd771e 
0fc7cdc 001904e 0fbe6ee 0fb61a2 0fd9c51 
0fc5ba3 001b18c 0fbb494 0fb4225 0fdd856 
0fcc10c 0017e63 0fc2468 0fba6ca 0fe2014 
0fc1f71 001c11f 0fb8a06 0fb0449 001091f 
0fc98c9 0019d3b 0fbf1a2 0fb7ec0 0019d26 
0fc49bd 001ae29 0fbb9c1 0fb2e55 001b76d 
0fc2170 001d32f 0fb8390 0fb07ab 001dca8 
0fc7f3d 001a5f5 0fbe559 0fb63eb 001af55 
0fbd42d 001f1a6 0fb47ad 0fab830 001fb43 
0fc49ab 001d458 0fbaf51 0fb2ed1 001ddc7 
0fbfa1b 001e9a1 0fb75a1 0fadd22 001f337 
0fbccd7 0021618 0fb34bf 0fab061 0021fb2 
0fc2f17 001ec30 0fb9586 0fb1075 001f5b7 
0fb8749 00238ce 0faf073 0fa6749 002427e 
0fbf7ba 0021e90 0fb528c 0fad892 0022821 
0fb9dde 002399c 0fb1062 0fa7e33 002434d 
0fb62af 0026daa 0fac5cd 0fa44db 0027755 
0fbb859 0024ab2 0fb1fae 0fa998b 0025455 
0fb079e 0029cb7 0fa77da 0f9e900 002a685 
0fb7470 00286eb 0fad794 0fa5752 002909d 
0fb217f 002a09a 0fa9a64 0fa0223 002aa45 
0faeb54 002d188 0fa599e 0f9cec9 002dafb 
0fb4007 002afd6 0fab330 0fa2251 002b992 
0fa855c 00305f5 0f9feae 0f96813 0031007 
0fadc70 002f91b 0fa41f9 0f9c03a 0030351 
0fa6d91 003219f 0f9e628 0f9509d 0032ba5 
0fa17b1 0036836 0f97e45 0f8fc61 0037236 
0fa56e0 003591f 0f9ba9e 0f93a35 003631b 
0f9933c 003be58 0f8e79e 0f87438 003c879 
0f9e644 003bd57 0f91a37 0f8c6be 003c75d 
0f9833c 003ec68 0f8ccfc 0f860c2 003f68e 
0f93da0 0042fe0 0f87311 0f81ba9 0043a0b 
0f98565 0041b20 0f8d102 0f8654e 0042546 
0f8bcd6 0047a9e 0f836f8 0f7a160 00484d9 
0f90e40 00476a3 0f88b9c 0f7f686 00480d3 
0f8ac4d 0049c5d 0f83733 0f7937f 004a6a3 
0f864c5 004dbd6 0f7d759 0f74cbd 004e61e 
0f8b6b6 004c2ae 0f82a28 0f79d95 004ccf1 
0f8077f 0051c57 0f77dcb 0f6ee24 00526b3 
0f87101 0051229 0f7cae2 0f757aa 0051c70 
0f824c3 005315a 0f7895f 0f709ae 0053bb9 
0f7eaab 00564d3 0f73e6b 0f6d260 0056f2b 
0f84f18 0053e65 0f7a341 0f73556 00548bb 
0f7bdec 0058d6f 0f7161f 0f6a2ac 00597d6 
0f840d7 0057285 0f78936 0f72748 0057cd1 
0f80e98 0057e25 0f764e5 0f6f29f 0058887 
0f7f1aa 005a3df 0f732b9 0f6d66e 005ae32 
0f86d07 0056c4b 0f7a9bb 0f7502f 0057695 
0f7dd52 005a491 0f71b69 0f6c04a 005aeef 
0f86cb4 0057f4c 0f797fb 0f74ee8 0058997 
0f84d7d 0058648 0f78c72 0f72d7f 00590a2 
0f83670 005a4f0 0f76a52 0f71892 005af49 
0f8b1e1 0056873 0f7e952 0f79360 00572c0 
0f81ffa 005a0b7 0f75dc9 0f70165 005ab19 
0f8a0e0 00577cd 0f7caef 0f7829a 0058215 
0f870b6 0057a99 0f7a6e8 0f74eaa 00584fa 
0f84e12 0059bc7 0f77323 0f72bfc 005a61c 
0f8c890 00563e1 0f7f28f 0f7a556 0056e28 
0f8370e 0059eb2 0f76cc7 0f71448 005a90c 
0f8b499 0057599 0f7e122 0f794a3 0057fe0 
0f8833a 0057466 0f7c96f 0f7635e 0057ec1 
0f85a48 005921c 0f795eb 0f73e21 0059c75 
0f8cf33 00551d0 0f80f1c 0f7b379 0055c22 
0f83fb8 00578ec 0f78859 0f72492 0058ef9 
0f8c7b9 000fd4b 0f7fda6 0f7ab0b 0056224 
0f89de0 0fe411e 0f7e788 0f78022 0055e0c 
0f87a27 0fde026 0f7b696 0f75e6d 00579c8 
0f8febe 0fa6fe7 0f83eed 0f7e3fd 0048043 
0f87fc1 0fb9c71 0f7c10f 0f76198 005686d 
0f90927 0fa5e54 0f83f2c 0f7ee57 003d90c 
0f8e953 0fa3d24 0f83648 0f7ce12 0029ccf 
0f8d5c3 0fa4e9e 0f817a0 0f7bc0d 001b16a 
0f9700f 0fa404b 0f8b5d9 0f8572d 0fbf4f5 
0f9026f 0fa3d30 0f85025 0f7e96c 0fa6fe6 
0f9a760 0fa3bc9 0f8e244 0f8901d 0fa1256 
0f9a772 0fa2b34 0f8f453 0f88f33 0f9bd52 
0f9afd8 0f9f3d5 0f8ee40 0f8993a 0f95d2b 
0fa6577 0f9bbe7 0f9a3eb 0f94ce0 0f9088b 
0fa0906 0f96ea6 0f950b6 0f8efc3 0f8a343 
0fab617 0f92bfd 0f9edf3 0f99e2d 0f87dc0 
0faba63 0f903dc 0fa058e 0f9a050 0f864e5 
0fab8e4 0f8fb47 0f9f782 0f9a119 0f84c78 
0fb61f1 0f902f8 0faa353 0fa4a15 0f837ae 
0faf2da 0f90673 0fa3af1 0f9d9ef 0f83113 
0fb8b57 0f91f8b 0fac337 0fa7502 0f8521a 
0fb8599 0f92939 0facaf2 0fa6eea 0f85fac 
0fb79f5 0f92a8a 0faadf4 0fa63c9 0f863f8 
0fc1b83 0f93896 0fb4cff 0fb053c 0f86e85 
0fba70f 0f93383 0fae108 0fa9145 0f85c69 
0fc40dd 0f94d99 0fb71ac 0fb2ce1 0f84735 
0fc3dfb 0f962af 0fb857f 0fb27d1 0f825de 
0fc36b0 0f968e5 0fb7209 0fb2188 0f806aa 
0fce3b7 0f97eb8 0fc2325 0fbcd01 0f7eb2e 
0fc7960 0f99824 0fbc5f5 0fb61f0 0f7c17f 
0fd1e44 0f9c3a5 0fc5acc 0fc07b4 0f7a40c 
0fd1dfc 0f9ed44 0fc6fe7 0fc04c6 0f77798 
0fd0b46 0fa10cc 0fc53a5 0fbf3d5 0f753bf 
0fda644 0fa4330 0fcf52b 0fc8d8b 0f74ff8 
0fd2ab1 0fa48d7 0fc8546 0fc102f 0f74968 
0fdbfa1 0fa374c 0fd0b4b 0fca7c9 0f75b3b 
0fdb121 0fa3286 0fd0da1 0fc96fe 0f761ae 
0fd92b3 0fa32f8 0fcdf48 0fc79e0 0f761bf 
0fe2285 0fa40b7 0fd6eab 0fd0944 0f779b8 
0fd913b 0fa4f69 0fce63e 0fc78a7 0f78159 
0fe0a32 0fa7e31 0fd4cc0 0fcf395 0f78c81 
0fdddc7 0fab835 0fd3070 0fcc604 0f7933a 
0fd9ee0 0faf8f2 0fce54a 0fc8982 0f78e8e 
0fe12c7 0fb5402 0fd609e 0fcfcf1 0f79bbe 
0fd7778 0fb903c 0fcccad 0fc614c 0f78829 
0fdeee7 0fbd9ad 0fd2f22 0fcd991 0f78437 
0fdbda4 0fc277f 0fd0ce1 0fca646 0f784f7 
0fd7750 0fc5e45 0fcb674 0fc6173 0f78de7 
0fde700 0fc9bd6 0fd2c37 0fcd159 0f7bc16 
0fd339c 0fcbe91 0fc9265 0fc2136 0f80b91 
0fc92d6 0fd818e 0fbe7de 0fb88bb 0fb890c 
0fc21c0 0fd8095 0fb8712 0fb1638 0fb809f 
0fc43e6 0fd8281 0fb97a9 0fb3a44 0fb7d54 
0fc7e92 0fd8d94 0fbdda0 0fb735b 0fb7fb5 
0fbfeb7 0fd86d5 0fb5ca7 0faf448 0fb73ac 
0fc925d 0fd909e 0fbe68d 0fb8844 0fb79b7 
0fc22e4 0fd8c9e 0fb8781 0fb1768 0fb7282 
0fc4320 0fd8af9 0fb96bf 0fb3998 0fb70a1 
0fc7f8a 0fd8fd5 0fbdeac 0fb7468 0fb758d 
0fc000c 0fd8521 0fb5e3f 0faf5b4 0fb6cd0 
0fc93a0 0fd8d75 0fbe876 0fb8999 0fb735a 
0fc25fb 0fd89a0 0fb8b13 0fb1a77 0fb6dfa 
0fc44ee 0fd87b5 0fb983d 0fb3b36 0fb6dc1 
0fc818d 0fd8b66 0fbe04c 0fb764c 0fb748e 
0fbfff0 0fd8480 0fb5dbc 0faf561 0fb6848 
0fc92f2 0fd8f29 0fbe750 0fb88ea 0fb6d2a 
0fc2541 0fd8b3b 0fb8a67 0fb19d2 0fb6828 
0fc42f2 0fd8ac1 0fb96ed 0fb3983 0fb659e 
0fc813a 0fd944a 0fbdffb 0fb761d 0fb66e0 
0fbff7b 0fd8a50 0fb5db8 0faf525 0fb5d8b 
0fc9290 0fd8fa1 0fbe771 0fb88b2 0fb6634 
0fc25f8 0fd8c52 0fb8b63 0fb1a93 0fb6015 
0fc4233 0fd8bea 0fb965c 0fb38d4 0fb5e0f 
0fc818f 0fd94e7 0fbe02d 0fb768f 0fb6313 
0fbff7c 0fd8edb 0fb5d3b 0faf528 0fb59bd 
0fc926b 0fd9e36 0fbe6b5 0fb88a6 0fb5cec 
0fc28c2 0fda132 0fb8e09 0fb1d81 0fb574e 
0fc42c6 0fda1a7 0fb978e 0fb3998 0fb5729 
0fc82be 0fda9f5 0fbe263 0fb7812 0fb5ffc 
0fbfeb8 0fda2c7 0fb5e2b 0faf4b2 0fb5aa3 
0fc8f6a 0fdad13 0fbe579 0fb8603 0fb65c3 
0fc2325 0fdad82 0fb8a8d 0fb184d 0fb6539 
0fc3c32 0fdb041 0fb9273 0fb3342 0fb68cf 
0fc7e70 0fdb9cc 0fbdee2 0fb73d2 0fb7381 
0fbfa1c 0fdaef6 0fb5a9c 0faf02f 0fb73f7 
0fc8cd6 0fdb622 0fbe379 0fb8388 0fb8526 
0fc220b 0fdb203 0fb8901 0fb1713 0fb8a3c 
0fc38fb 0fdb03d 0fb8ea4 0fb2fdd 0fb9a9a 
0fc7a4e 0fdb4cf 0fbda7d 0fb6f8c 0fbb3f0 
0fbf4c5 0fda3ce 0fb5684 0faead2 0fbb6e9 
0fc8626 0fda84b 0fbdeed 0fb7c6f 0fbc124 
0fc1a60 0fd9b50 0fb872d 0fb0edb 0fbc417 
0fc2df1 0fd95c7 0fb8bc5 0fb245a 0fbc372 
0fc6cae 0fd9b9c 0fbd53a 0fb61a3 0fbc953 
0fbe0f0 0fd8e44 0fb4930 0fad654 0fbc957 
0fc6a72 0fd9b48 0fbc6e7 0fb6016 0fbcdc2 
0fbfc5c 0fd9b09 0fb6819 0faf077 0fbc907 
0fc0f5e 0fd9622 0fb6ae3 0fb05a2 0fbc374 
0fc52a9 0fda48a 0fbb7c2 0fb4771 0fbb918 
0fbc8f1 0fda3aa 0fb2c0c 0fabe1d 0fbacdd 
0fc57bf 0fdb109 0fbae99 0fb4d57 0fbb9c7 
0fbee0b 0fdad0b 0fb5570 0fae1eb 0fbb881 
0fc01c4 0fda3fe 0fb58ec 0faf748 0fbb67e 
0fc45f4 0fdaabe 0fba95a 0fb3992 0fbbae6 
0fbb80a 0fda249 0fb1dd4 0faac43 0fbb351 
0fc45aa 0fda812 0fba20c 0fb3a28 0fbb98d 
0fbd998 0fd9883 0fb46cb 0facc25 0fbb829 
0fbea1f 0fd7677 0fb470f 0fadeb9 0fbbd50 
0fc324d 0fd52c3 0fb9800 0fb249c 0fbc8b0 
0fba701 0fd20a1 0fb0c9f 0fa99f8 0fbcd9c 
0fc340d 0fd0bc4 0fb8e26 0fb277c 0fbefb1 
0fbc728 0fcfdfb 0fb31f4 0fab94b 0fc047b 
0fbd4d4 0fcef24 0fb2d21 0fac8cc 0fc1a50 
0fc1c19 0fce6c8 0fb7c7b 0fb0ec5 0fc30c2 
0fb9249 0fcd23f 0faf0ed 0fa844b 0fc33c0 
0fc24e6 0fce1f8 0fb7731 0fb171e 0fc44ec 
0fbbe06 0fcf3f9 0fb1f54 0faae0a 0fc504e 
0fbd006 0fd072f 0fb1f9b 0fac163 0fc606a 
0fc1c1d 0fd332f 0fb7501 0fb0b32 0fc6f1e 
0fb8fab 0fd55f9 0faeb3e 0fa7fcb 0fc6e0b 
0fc2579 0fd78c9 0fb78a3 0fb16bd 0fc7f83 
0fbc14b 0fd92af 0fb25c8 0fab121 0fc7b18 
0fbd195 0fe1524 0fb2524 0fac23a 0fc843a 
0fc1d90 0fdd9ed 0fb7e91 0fb0e05 0fc9224 
0fb960b 0003371 0faf676 0fa83e2 0fc9235 
0fc2744 0feea8b 0fb7b70 0fb15e6 0fca5c6 
0fbba4a 0011b5d 0fb20f6 0faa831 0fcad70 
0fbbdcf 00223fd 0fb14cb 0faaf6b 0fcb88b 
0fc026a 001793c 0fb63eb 0faf095 0fcc757 
0fb65f7 0024e61 0facc9b 0fa5591 0fcc654 
0fbe9e2 002239b 0fb492c 0fada2d 0fcd6ee 
0fb7358 00249a2 0faf1a6 0fa61dd 0fcf181 
0fb714b 00263d7 0fae487 0fa6101 0fd02fe 
0fbb21a 0024300 0fb3209 0fa9fb6 0fcfecf 
0fb1e01 0028df2 0fa9a13 0fa0b1f 0fcf137 
0fba112 0026678 0fb16ca 0fa9107 0fcfb8e 
0fb2fd9 0028e2e 0fab7bf 0fa1e77 0fce67d 
0fb3154 002a8fd 0fab049 0fa2220 0fcc166 
0fb71ff 002893e 0fb0727 0fa624a 0fca2ac 
0fadbc4 002d507 0fa7297 0f9cc40 0fc5885 
0fb5e51 002aedd 0fae9d2 0fa4fce 0fc2dc3 
0fae5fa 002d925 0fa867d 0f9d66f 0fc2e8d 
0fadec2 002fa1a 0fa6c9a 0f9d17f 0fc3917 
0fb1cb5 002dd4c 0fab268 0fa0f2d 0fc4833 
0fa7932 0032f87 0fa08bc 0f96c52 0fc5305 
0faebee 0031266 0fa668b 0f9df0c 0fc6b9c 
0fa5bf8 0034988 0f9e329 0f94ccf 0fe7950 
0fa3307 0037c56 0f9a54c 0f925fa 001aefa 
0fa4dd4 0037484 0f9cefe 0f9400e 00250ce 
0f9951b 003d89b 0f9186f 0f88880 003e29a 
0f9f882 003c9f8 0f97000 0f8ed48 003d3e1 
0f969f1 004057d 0f8ecc8 0f85c9a 0040f86 
0f946ad 0043908 0f8b8ad 0f83b84 0044312 
